Monastery Name
Amba Mamring Monastery
Bakcham Monastery
Bongyong Ani Gonpa
Burtuk Ugen Pemacholing Monastery
Choten Monastery
Dichen Choling Monastery
Dolepchen Boudha Sanskrit Monastery
Duchi Gyalton Monastery
Enchey Monastery
Kagon Tshechhogling Monastery
Kathog Dorjeden Monastery
Khatek Pema Choling Monastery
Lingdok Tsangkhar Monastery
Lingdum Zurmang Monastery
Linkoed Monastery
Martam Namdzong Monastery
Martam Tsangkhar Monastery
Old Rumtek Monastery
Pabyuk Monastery
Pandam Monastery
Pathing Matsang Monastery
Radong Tensung Monastery
Raloong Monastery
Ray Mindu Katenling Monastery
Rinak Monastery
Rumtek Dharma Chakra Centre
Samdong Mintokgang Monastery
Sang Monastery
Sang‑Ngor Monastery
Simig Monastery
Singtam Monastery
Sumon Thubten Gatsalling Monastery
Taglung Domsumling Monastery
Taktse Ani Gonpa
Thumon Monastery
Tingkye Gonjang Monastery
Tsangek Monastery
Tsulakhang Monastery
Karthok Monastery
Rhenock Monastery
Simik Monastery
Barphog Monastery
Gor Monastery
Hee Gyathang Monastery
Kabi Monastery
Labrang Monastery
Lachen Monastery
Lachen Thangu Monastery
Lachung Monastery
Lingthem Gonpa
Malam Monastery
Nage Monastery
Phensang Monastery
Phodong Monastery
Ringyim Monastery
Shagyong Monastery
Ship Kunzang Choling Monastery
Silem Phagyal Monastery
Singchit Ngadag Monastery
Sontam Tensung Monastery
Tareng Gonpa
Tholung Monastery
Tingbung Monastery
Tsawang Choling Monastery
Tsungthang Monastery
Chawayng Ani Monastery
Ben Monastery
Bon Monastery
Bumtar Namdroling Monastery
Burmiok Norbugang Monastery
Doling Monastery
Gagyong Monastery
Kewzing Monastery
Linge Phagyal Monastery
Malli Tashi Chodarling Monastery
Mangbro Monastery
Namthang Norbu Tsho‑Ling Monastery
Namthang Nyima Choling Monastery
Namtse Ahaley Monastery
Namtse Nga‑Dag Monastery
Parbing Monastery
Rabong Kunphenling Tsechu Monastery
Rabong Monastery
Ralong Monastery
Ralong Palchen Choling Monastery
Sangmo Sharchog Bephug Monastery
Serdup Choling Monastery
Sorok Tamang Monastery
Suiram Risung Monastery
Tekling Dzokchen Monastery
Wok Pabong Monastery
Yangang Changchub Tamu Monastery
Yangang Gonpa
Namchi Monastery
Tendong Gumpa
Aden Wolung Monastery
Chakung Monastery
Dodak Tamu Monastery
Dubde Monastery
Hungri Monastery
Khachoedpalri Monastery
Lhuntse Monastery
Melli‑Atsing Monastery
Nubling Monastery
Okhery Monastery
Pemayangtse Monastery
Rinchen Choling Tamu Monastery
Rinchenpung Monastery
Sanga Choeling Monastery
Silnon Monastery
Sri Badam Monastery
Tashi Samboling Tamang Monastery
Tashiding Monastery
Bermiok Monastery
